# Stage T vehicle capture from COM7
# Started: 2026-04-18 23:10:40
1776571840.764030 
1776571840.764039 ==============================================
1776571840.764042   RocketChip v0.16.0  RCOS v0.5.0  bench-16c53e6
1776571840.764043   Board: Adafruit Feather RP2350 HSTX
1776571840.764044   Profile: Rocket  Uptime: 359s
1776571867.778569 [STAGE_T] state TX->RXW t=386857488
1776571867.886986 [STAGE_T] state RXW->TX t=386957412
1776571867.886990 [STAGE_T] state RXW->TX t=386957797
1776571867.994674 [STAGE_T] state TX->RXW t=387057493
1776571868.102458 [STAGE_T] state RXW->TX t=387157411
1776571868.102463 [STAGE_T] state RXW->TX t=387157741
1776571868.210272 [STAGE_T] state TX->RXW t=387257498
1776571868.318017 [STAGE_T] state RXW->TX t=387357447
1776571868.318022 [STAGE_T] state RXW->TX t=387357786
1776571868.425062 [STAGE_T] state TX->RXW t=387457496
1776571868.533725 [STAGE_T] state RXW->TX t=387557412
1776571868.533729 [STAGE_T] state RXW->TX t=387557826
1776571868.642111 [STAGE_T] state TX->RXW t=387657496
1776571868.642116 [STAGE_T] state RXW->TX t=387757403
1776571868.642117 [STAGE_T] state RXW->TX t=387757736
1776571868.749789 [STAGE_T] state TX->RXW t=387857491
1776571868.856861 [STAGE_T] state RXW->TX t=387957409
1776571868.856867 [STAGE_T] state RXW->TX t=387957794
1776571868.965472 [STAGE_T] state TX->RXW t=388057495
1776571869.073476 [STAGE_T] state RXW->TX t=388157413
1776571869.073480 [STAGE_T] state RXW->TX t=388157807
1776571869.181979 [STAGE_T] state TX->RXW t=388257504
1776571869.289943 [STAGE_T] state RXW->TX t=388357433
1776571869.289948 [STAGE_T] state RXW->TX t=388357761
1776571869.397790 [STAGE_T] state TX->RXW t=388457496
1776571869.613338 [STAGE_T] state RXW->TX t=388657412
1776571869.613343 [STAGE_T] state RXW->TX t=388657798
1776571869.721390 [STAGE_T] state TX->RXW t=388757496
1776571869.936663 [STAGE_T] state RXW->TX t=388957411
1776571869.936668 [STAGE_T] state RXW->TX t=388957769
1776571870.044975 [STAGE_T] state TX->RXW t=389057498
1776571870.044981 [STAGE_T] state RXW->TX t=389157483
1776571870.044982 [STAGE_T] state RXW->TX t=389157867
1776571870.152948 [STAGE_T] state TX->RXW t=389257499
1776571870.368354 [STAGE_T] state RXW->TX t=389457437
1776571870.368359 [STAGE_T] state RXW->TX t=389457763
1776571870.475805 [STAGE_T] state TX->RXW t=389557481
1776571870.583941 [STAGE_T] state RXW->TX t=389657403
1776571870.583946 [STAGE_T] state RXW->TX t=389657813
1776571870.691478 [STAGE_T] state TX->RXW t=389757497
1776571870.799479 [STAGE_T] state RXW->TX t=389857402
1776571870.799483 [STAGE_T] state RXW->TX t=389857751
1776571870.907618 [STAGE_T] state TX->RXW t=389957509
1776571871.123738 [STAGE_T] state RXW->TX t=390157410
1776571871.123745 [STAGE_T] state RXW->TX t=390157825
1776571871.231973 [STAGE_T] state TX->RXW t=390257492
1776571871.340616 [STAGE_T] state RXW->TX t=390357417
1776571871.340622 [STAGE_T] state RXW->TX t=390357780
1776571871.448947 [STAGE_T] state TX->RXW t=390458933
1776571871.448951 [STAGE_T] state RXW->TX t=390557419
1776571871.448953 [STAGE_T] state RXW->TX t=390557806
1776571871.557140 [STAGE_T] state TX->RXW t=390657506
1776571871.664878 [STAGE_T] state RXW->TX t=390757433
1776571871.664882 [STAGE_T] state RXW->TX t=390757825
1776571871.773543 [STAGE_T] state TX->RXW t=390857491
1776571871.882113 [STAGE_T] state RXW->TX t=390957419
1776571871.882118 [STAGE_T] state RXW->TX t=390957762
1776571871.990617 [STAGE_T] state TX->RXW t=391057495
1776571872.099164 [STAGE_T] state RXW->TX t=391157411
1776571872.099169 [STAGE_T] state RXW->TX t=391157770
1776571872.206389 [STAGE_T] state TX->RXW t=391257495
1776571872.314815 [STAGE_T] state RXW->TX t=391357409
1776571872.314819 [STAGE_T] state RXW->TX t=391357766
1776571872.422924 [STAGE_T] state TX->RXW t=391457488
1776571872.639794 [STAGE_T] state RXW->TX t=391657403
1776571872.639805 [STAGE_T] state RXW->TX t=391657771
1776571872.748197 [STAGE_T] state TX->RXW t=391757489
1776571872.748203 [STAGE_T] state RXW->TX t=391857404
1776571872.748204 [STAGE_T] state RXW->TX t=391857782
1776571872.856615 [STAGE_T] state TX->RXW t=391957495
1776571873.073256 [STAGE_T] state RXW->TX t=392157413
1776571873.073263 [STAGE_T] state RXW->TX t=392157767
1776571873.180920 [STAGE_T] state TX->RXW t=392257497
1776571873.288543 [STAGE_T] state RXW->TX t=392357413
1776571873.288549 [STAGE_T] state RXW->TX t=392357750
1776571873.396855 [STAGE_T] state TX->RXW t=392457490
1776571873.504933 [STAGE_T] state RXW->TX t=392557404
1776571873.504938 [STAGE_T] state RXW->TX t=392557773
1776571873.612246 [STAGE_T] state TX->RXW t=392657504
1776571873.720620 [STAGE_T] state RXW->TX t=392757408
1776571873.720625 [STAGE_T] state RXW->TX t=392757739
1776571873.829253 [STAGE_T] state TX->RXW t=392857546
1776571873.937431 [STAGE_T] state RXW->TX t=392957417
1776571873.937435 [STAGE_T] state RXW->TX t=392957797
1776571874.045861 [STAGE_T] state TX->RXW t=393057499
1776571874.045866 [STAGE_T] state RXW->TX t=393157413
1776571874.045868 [STAGE_T] state RXW->TX t=393157757
1776571874.154358 [STAGE_T] state TX->RXW t=393257526
1776571874.262939 [STAGE_T] state RXW->TX t=393357417
1776571874.262944 [STAGE_T] state RXW->TX t=393357768
1776571874.371448 [STAGE_T] state TX->RXW t=393457493
1776571874.588701 [STAGE_T] state RXW->TX t=393657402
1776571874.588707 [STAGE_T] state RXW->TX t=393657743
1776571874.696954 [STAGE_T] state TX->RXW t=393757504
1776571874.805546 [STAGE_T] state RXW->TX t=393857420
1776571874.805551 [STAGE_T] state RXW->TX t=393857779
1776571874.913984 [STAGE_T] state TX->RXW t=393957498
1776571875.021641 [STAGE_T] state RXW->TX t=394057423
1776571875.021646 [STAGE_T] state RXW->TX t=394057813
